app_name,C,W,T,L2,ALU (W/O Area),ALU,Mapping,workgroup size,num workgroup,Flop/Byte,Total branches TM,Divergent branch TM,Total branches CM,Divergent branch CM,Load(TM),Store(TM),TM_linear_access,Load(CM),Store(CM),CM_linear_access,Linear_access,Data_reuse,FLOP_Byte,Branch_divergence
bfs,16,8,4,2,512,256,TM,256,3907,0,8,5,7,5,8,3,7,8,3,7,,,,
blackscholes,16,2,8,2,256,256,TM,64,16384,1.3,5,2,4,2,3,0,3,3,0,3,,,,
convolution,16,2,8,2,256,256,TM,64,16384,0.118,3,0,,,9,1,10,,,,,,,
dotproduct,16,2,8,0,256,256,CM,64,1024,0.194,4,1,2,1,8,3,1,8,1,1,,,,
guassian,8,2,16,2,256,256,TM,64,676,0.083,8,4,3,2,8,3,9,5,2,6,,,,
kmeans,16,2,8,1,1024,256,CM,64,4096,0.167,13,3,12,3,1,3,4,1,3,4,,,,
lbm,8,2,8,1,128,128,TM,32,128,0.385,4,1,3,1,20,19,0,20,19,0,,,,
nearn,8,4,4,1,128,128,TM,64,335,0.5,4,1,3,1,2,1,3,2,1,3,,,,
psort,16,2,8,0,1024,256,CM,64,256,0.49,9,1,6,1,3,2,2,3,2,2,,,,
saxpy,16,2,8,0,256,256,CM,64,1024,0.167,3,0,2,0,2,1,3,2,1,3,,,,
sfilter,16,2,8,2,1024,256,CM,4094,4094,0.472,3,0,2,0,9,1,10,9,1,0,,,,
sgemm,16,2,8,1,256,256,TM,64,256,0.25,8,0,5,0,2,2,3,2,2,3,,,,
spmv,8,2,8,1,128,128,CM,32,36,0.167,6,3,5,3,5,1,3,5,1,3,,,,
stencil,16,4,4,1,128,256,TM,128,372,0.281,4,1,3,1,7,1,8,7,1,8,,,,
transpose,16,2,4,2,128,128,TM,64,16384,0,5,2,,,1,1,2,,,,,,,
vecadd,16,4,4,2,512,256,CM,64,4096,0.083,3,0,2,0,2,1,3,2,1,3,,,,